NAME                                    READY   STATUS     RESTARTS   AGE
transaction-service-5445767f6b-9xfzc    0/1     Error              0             81s
transaction-service-5445767f6b-9xfzc    0/1     Running            1 (2s ago)    83s
wallet-service-667f6fd6fd-gptb4         0/1     Error              0             98s
rewards-service-df546b9c7-f79j6         0/1     Error              1 (47s ago)   98s
rewards-service-df546b9c7-f79j6         0/1     CrashLoopBackOff   1 (2s ago)    100s
wallet-service-667f6fd6fd-gptb4         0/1     Running            1 (3s ago)    100s
notification-service-7b66cd6f8f-dzk5x   0/1     Error              0             109s
notification-service-7b66cd6f8f-dzk5x   0/1     Running            1 (2s ago)    111s
user-service-6bc99c8d97-dktts           0/1     Error              1             113s
rewards-service-df546b9c7-f79j6         0/1     Running            2 (16s ago)   114s
user-service-6bc99c8d97-dktts           0/1     CrashLoopBackOff   1 (7s ago)    2m
kyc-service-858cc454fb-2wbjz            0/1     Error              0             99s
payment-service-6cc97f568c-p4s6c        0/1     Error              0             2m8s
admin-service-86864d7fc4-ddhv7          0/1     Error              0             101s
payment-service-6cc97f568c-p4s6c        0/1     Running            1 (2s ago)    2m10s
kyc-service-858cc454fb-2wbjz            0/1     Running            1 (3s ago)    102s
admin-service-86864d7fc4-ddhv7          0/1     Running            1 (3s ago)    103s
